DATE/TIME;SYMBOL;OPEN;HIGH;LOW;CLOSE;EVOL % CLOSE/HIGH
2021-11-03T00:00:00+00:00;BNBHEDGE/USD;7,38500000;7,59800000;7,22100000;7,23500000;-2,07
2021-11-02T00:00:00+00:00;BNBHEDGE/USD;7,47200000;7,61800000;7,26500000;7,38500000;-1,18
2021-11-01T00:00:00+00:00;BNBHEDGE/USD;7,87400000;8,02900000;7,45400000;7,47200000;-5,38
2021-10-31T00:00:00+00:00;BNBHEDGE/USD;7,81800000;8,06900000;7,72900000;7,87400000;0,71
2021-10-30T00:00:00+00:00;BNBHEDGE/USD;7,80000000;8,02300000;7,64300000;7,81800000;0,23
2021-10-29T00:00:00+00:00;BNBHEDGE/USD;8,43100000;8,47000000;7,74500000;7,80000000;-8,09
2021-10-28T00:00:00+00:00;BNBHEDGE/USD;9,29800000;9,35500000;8,40400000;8,43100000;-10,28
2021-10-27T00:00:00+00:00;BNBHEDGE/USD;8,77200000;9,34700000;8,65500000;9,32100000;5,89
2021-10-26T00:00:00+00:00;BNBHEDGE/USD;8,68400000;8,83800000;8,59300000;8,77200000;1,0
2021-10-25T00:00:00+00:00;BNBHEDGE/USD;8,74500000;8,76400000;8,62100000;8,68400000;-0,7
2021-10-24T00:00:00+00:00;BNBHEDGE/USD;8,71800000;8,88800000;8,71800000;8,74500000;0,31
2021-10-23T00:00:00+00:00;BNBHEDGE/USD;8,73300000;8,79300000;8,67900000;8,71800000;-0,17
2021-10-22T00:00:00+00:00;BNBHEDGE/USD;8,85000000;8,87000000;8,40500000;8,73300000;-1,34
2021-10-21T00:00:00+00:00;BNBHEDGE/USD;8,41100000;8,91500000;8,33800000;8,85000000;4,96
2021-10-20T00:00:00+00:00;BNBHEDGE/USD;8,67800000;8,73500000;8,32400000;8,41100000;-3,17
2021-10-19T00:00:00+00:00;BNBHEDGE/USD;8,72900000;8,79000000;8,49100000;8,67800000;-0,59
2021-10-18T00:00:00+00:00;BNBHEDGE/USD;9,01800000;9,06400000;8,67900000;8,72900000;-3,31
2021-10-17T00:00:00+00:00;BNBHEDGE/USD;9,13600000;9,29400000;8,99700000;9,01800000;-1,31
2021-10-16T00:00:00+00:00;BNBHEDGE/USD;8,96000000;9,15000000;8,76600000;9,13600000;1,93
2021-10-15T00:00:00+00:00;BNBHEDGE/USD;9,02000000;9,34700000;8,91700000;8,96000000;-0,67
2021-10-14T00:00:00+00:00;BNBHEDGE/USD;9,02700000;9,18900000;8,82300000;9,02000000;-0,08
2021-10-13T00:00:00+00:00;BNBHEDGE/USD;9,61600000;9,78500000;9,02600000;9,02700000;-6,52
2021-10-12T00:00:00+00:00;BNBHEDGE/USD;10,40700000;10,88400000;9,61200000;9,61600000;-8,23
2021-10-11T00:00:00+00:00;BNBHEDGE/USD;10,60900000;10,69700000;10,11900000;10,40700000;-1,94
2021-10-10T00:00:00+00:00;BNBHEDGE/USD;10,21900000;10,64900000;10,21100000;10,60900000;3,68
2021-10-09T00:00:00+00:00;BNBHEDGE/USD;10,24600000;10,30800000;10,11500000;10,21900000;-0,26
2021-10-08T00:00:00+00:00;BNBHEDGE/USD;9,80800000;10,31200000;9,78100000;10,24600000;4,27
2021-10-07T00:00:00+00:00;BNBHEDGE/USD;9,95200000;10,15500000;9,58300000;9,80800000;-1,47
2021-10-06T00:00:00+00:00;BNBHEDGE/USD;9,80300000;10,35500000;9,78600000;9,95200000;1,5
2021-10-05T00:00:00+00:00;BNBHEDGE/USD;10,19000000;10,27800000;9,75500000;9,80300000;-3,95
2021-10-04T00:00:00+00:00;BNBHEDGE/USD;10,08400000;10,50900000;10,08400000;10,19000000;1,04
2021-10-03T00:00:00+00:00;BNBHEDGE/USD;10,16100000;10,27100000;9,95500000;10,08400000;-0,76
2021-10-02T00:00:00+00:00;BNBHEDGE/USD;10,35400000;10,57100000;9,93400000;10,16100000;-1,9
2021-10-01T00:00:00+00:00;BNBHEDGE/USD;11,38800000;11,49300000;10,30400000;10,35400000;-9,99
2021-09-30T00:00:00+00:00;BNBHEDGE/USD;12,07600000;12,11800000;11,34500000;11,38800000;-6,04
2021-09-29T00:00:00+00:00;BNBHEDGE/USD;13,38400000;13,44800000;11,75500000;12,07600000;-10,83
2021-09-28T00:00:00+00:00;BNBHEDGE/USD;13,31400000;13,53000000;12,94600000;13,38400000;0,52
2021-09-27T00:00:00+00:00;BNBHEDGE/USD;12,96800000;13,32100000;12,52100000;13,31400000;2,6
2021-09-26T00:00:00+00:00;BNBHEDGE/USD;12,80200000;13,88200000;12,70400000;12,96800000;1,28
2021-09-25T00:00:00+00:00;BNBHEDGE/USD;12,67500000;12,99600000;12,46600000;12,80200000;0,99
2021-09-24T00:00:00+00:00;BNBHEDGE/USD;11,80200000;13,21600000;11,74900000;12,67500000;6,89
2021-09-23T00:00:00+00:00;BNBHEDGE/USD;11,95900000;12,18400000;11,77300000;11,80200000;-1,33
2021-09-22T00:00:00+00:00;BNBHEDGE/USD;13,22000000;13,31600000;11,94200000;11,95900000;-10,54
2021-09-21T00:00:00+00:00;BNBHEDGE/USD;12,57000000;13,50000000;12,23400000;13,22000000;4,92
2021-09-20T00:00:00+00:00;BNBHEDGE/USD;11,35500000;12,78200000;11,32200000;12,57000000;9,67
2021-09-19T00:00:00+00:00;BNBHEDGE/USD;11,30400000;11,49800000;11,09600000;11,35500000;0,45
2021-09-18T00:00:00+00:00;BNBHEDGE/USD;11,42300000;11,55600000;11,08100000;11,30400000;-1,05
2021-09-17T00:00:00+00:00;BNBHEDGE/USD;11,00300000;11,57800000;10,95800000;11,42400000;3,69
2021-09-16T00:00:00+00:00;BNBHEDGE/USD;10,83600000;11,19700000;10,78500000;11,00300000;1,52
2021-09-15T00:00:00+00:00;BNBHEDGE/USD;11,30700000;11,43300000;10,69900000;10,83600000;-4,35
