Timestamp,Open,High,Low,Close,Volume
2022-12-14 00:00:00,4.171,4.215,3.974,3.993,1149983.78
2022-12-15 00:00:00,3.994,4.045,3.857,3.927,860567.51
2022-12-16 00:00:00,3.928,3.984,3.5,3.559,1573544.6
2022-12-17 00:00:00,3.559,3.75,3.42,3.688,2598914.79
2022-12-18 00:00:00,3.688,3.742,3.605,3.68,533311.32
2022-12-19 00:00:00,3.684,3.743,3.357,3.497,1140137.87
2022-12-20 00:00:00,3.496,3.751,3.453,3.714,1045049.07
2022-12-21 00:00:00,3.714,3.745,3.583,3.72,733304.86
2022-12-22 00:00:00,3.717,3.78,3.61,3.741,806812.27
2022-12-23 00:00:00,3.74,3.79,3.635,3.664,803072.52
2022-12-24 00:00:00,3.666,3.765,3.659,3.74,491320.06
2022-12-25 00:00:00,3.741,3.786,3.702,3.766,565479.85
2022-12-26 00:00:00,3.765,3.924,3.765,3.857,1076148.12
2022-12-27 00:00:00,3.857,3.939,3.764,3.836,787366.83
2022-12-28 00:00:00,3.837,4.043,3.781,3.959,1717015.83
2022-12-29 00:00:00,3.961,4.114,3.909,4.018,1502118.98
2022-12-30 00:00:00,4.018,4.21,3.9,4.122,1216935.26
2022-12-31 00:00:00,4.122,4.186,3.922,3.933,1108421.94
2023-01-01 00:00:00,3.932,4.098,3.913,4.021,999540.66
2023-01-02 00:00:00,4.021,4.24,3.935,4.013,2462884.52
2023-01-03 00:00:00,4.013,4.055,3.832,3.914,2255014.51
2023-01-04 00:00:00,3.913,4.053,3.9,3.945,1644927.74
2023-01-05 00:00:00,3.945,3.974,3.787,3.817,1329732.42
2023-01-06 00:00:00,3.817,3.945,3.765,3.902,1266354.2
2023-01-07 00:00:00,3.902,4.041,3.89,4.014,1020408.36
2023-01-08 00:00:00,4.014,4.133,3.938,4.115,1069798.09
2023-01-09 00:00:00,4.114,4.375,4.091,4.246,2245088.13
2023-01-10 00:00:00,4.245,4.332,4.155,4.32,1164413.11
2023-01-11 00:00:00,4.32,4.375,4.114,4.342,1406977.68
2023-01-12 00:00:00,4.342,4.54,4.227,4.51,2211591.96
2023-01-13 00:00:00,4.51,4.68,4.355,4.605,1399201.73
